Wall time,Step,Value
1654609003.688363,79,6.411665916442871
1654609007.327477,159,6.7742390632629395
1654609010.8416526,239,6.851626396179199
1654609014.6265905,319,7.8531646728515625
1654609018.566672,399,10.487439155578613
1654609021.9931877,479,14.17057991027832
1654609025.471277,559,18.37859535217285
1654609028.9290109,639,24.654592514038086
1654609032.3757746,719,31.396644592285156
1654609035.7325497,799,41.12394332885742
1654609039.1854312,879,54.19858932495117
1654609042.6504967,959,73.7501220703125
1654609046.1201637,1039,99.4647216796875
1654609049.6825204,1119,142.6452178955078
1654609053.3695908,1199,171.5913848876953
1654609056.8312287,1279,177.36932373046875
1654609060.3451283,1359,177.00181579589844
1654609063.750087,1439,170.32400512695312
1654609067.2019417,1519,175.401611328125
1654609070.63543,1599,176.55621337890625
1654609073.9740767,1679,175.8575439453125
1654609077.4007428,1759,170.06259155273438
1654609080.8429155,1839,168.22500610351562
1654609084.2208548,1919,171.29444885253906
1654609087.6080725,1999,174.77491760253906
1654609091.034459,2079,180.2449188232422
1654609094.537416,2159,175.42709350585938
1654609098.0082636,2239,174.3131866455078
1654609101.7313797,2319,167.01988220214844
1654609105.1535559,2399,173.65081787109375
1654609108.7218142,2479,175.08914184570312
1654609112.4886727,2559,173.80471801757812
1654609115.963333,2639,175.16543579101562
1654609119.3924503,2719,179.11338806152344
1654609122.820507,2799,177.00311279296875
1654609126.3249724,2879,167.70587158203125
1654609129.700341,2959,168.31500244140625
1654609133.1528194,3039,171.702880859375
1654609136.9050093,3119,180.71621704101562
1654609140.353879,3199,183.3061065673828
1654609144.1586103,3279,180.93482971191406
1654609147.5545008,3359,182.20840454101562
1654609151.0353343,3439,178.70846557617188
1654609154.798512,3519,180.95648193359375
1654609158.74837,3599,188.60008239746094
1654609162.4300256,3679,187.43898010253906
1654609165.8064804,3759,194.7440948486328
1654609169.259384,3839,203.81715393066406
1654609172.956411,3919,208.4337615966797
1654609176.399424,3999,215.98484802246094
1654609179.819193,4079,228.74014282226562
1654609183.256579,4159,239.34805297851562
1654609186.7038205,4239,249.79965209960938
1654609190.1891794,4319,257.5018005371094
1654609194.0219853,4399,263.03515625
1654609197.4561236,4479,266.8038635253906
1654609200.9042394,4559,284.4942626953125
1654609204.0115957,4639,289.61492919921875
1654609207.5227084,4719,291.3426818847656
1654609211.2382221,4799,299.2694091796875
1654609214.7175126,4879,309.4430236816406
1654609218.0672462,4959,307.6305847167969
1654609221.5516903,5039,323.086181640625
1654609225.019463,5119,327.3283996582031
1654609228.673738,5199,336.3658752441406
1654609232.431317,5279,335.339599609375
1654609235.9860232,5359,344.46929931640625
1654609239.4743328,5439,346.4808349609375
1654609243.0231078,5519,356.9183044433594
1654609246.6167686,5599,350.457275390625
1654609250.3791194,5679,363.6527099609375
1654609253.803071,5759,361.5706787109375
1654609257.3321543,5839,357.5146484375
1654609260.9869838,5919,369.6269836425781
1654609264.4073286,5999,371.35162353515625
1654609267.9419632,6079,368.8953857421875
1654609271.5947263,6159,375.45263671875
1654609275.1058753,6239,381.03643798828125
1654609278.650923,6319,383.6890563964844
1654609282.0884757,6399,385.3367614746094
1654609285.4384246,6479,390.14697265625
1654609288.5998468,6559,390.1526794433594
1654609292.3156605,6639,397.6605224609375
1654609295.8332705,6719,394.6153259277344
1654609299.4847457,6799,394.3890686035156
1654609303.0022733,6879,407.646240234375
1654609306.3659391,6959,401.44989013671875
1654609309.7850792,7039,415.8748474121094
1654609313.238753,7119,419.26934814453125
1654609316.6199174,7199,423.639404296875
1654609320.0667863,7279,423.0508117675781
1654609323.5191176,7359,431.557861328125
1654609326.920644,7439,427.2882080078125
1654609330.3139055,7519,433.5611877441406
1654609333.9862347,7599,435.7705078125
1654609337.3696635,7679,445.5632629394531
1654609340.7647636,7759,450.3001403808594
1654609344.4134002,7839,445.61456298828125
1654609348.0576289,7919,450.2321472167969
1654609351.5960715,7999,459.2825012207031
1654609354.98006,8079,447.9088134765625
1654609358.3368328,8159,461.402099609375
1654609361.716884,8239,463.462646484375
1654609365.4786663,8319,468.3760986328125
1654609368.8925247,8399,476.65411376953125
1654609372.2773612,8479,469.06146240234375
1654609375.685971,8559,474.2598571777344
1654609379.069562,8639,489.0416564941406
1654609382.433369,8719,475.15631103515625
1654609385.8513963,8799,482.412841796875
1654609389.3604681,8879,497.57818603515625
1654609392.7985668,8959,482.3697509765625
1654609396.5991967,9039,493.97540283203125
1654609400.084705,9119,503.3846130371094
1654609403.571388,9199,507.6841125488281
1654609406.973673,9279,504.2525634765625
1654609410.2891257,9359,502.53173828125
1654609413.658877,9439,509.7615966796875
1654609417.3802412,9519,505.677490234375
1654609420.8556278,9599,509.6059875488281
1654609424.2576108,9679,517.7296142578125
1654609427.729209,9759,516.1533203125
1654609431.1381972,9839,529.2489013671875
1654609434.5947871,9919,519.5264892578125
1654609437.973509,9999,530.5302734375
1654609441.3029387,10079,530.150634765625
1654609444.797639,10159,538.1458129882812
1654609448.3052523,10239,539.9921875
1654609451.8698866,10319,534.2692260742188
1654609455.4876933,10399,547.057861328125
1654609459.087758,10479,539.980224609375
1654609462.6781619,10559,550.6702270507812
1654609466.0573056,10639,546.4890747070312
1654609469.4295714,10719,555.4661254882812
1654609473.1389675,10799,555.7522583007812
1654609476.7098734,10879,558.205322265625
1654609480.1191776,10959,563.011474609375
1654609483.7567694,11039,560.6641235351562
1654609487.3572779,11119,570.5790405273438
1654609490.7728472,11199,573.8462524414062
1654609494.264352,11279,566.296875
1654609497.657429,11359,582.6156616210938
1654609501.1608262,11439,573.69384765625
1654609504.7367122,11519,573.4063720703125
1654609508.3884954,11599,591.7069091796875
1654609511.7811916,11679,589.1180419921875
1654609515.2400067,11759,590.076171875
1654609518.8212867,11839,594.7180786132812
1654609522.424977,11919,598.4063720703125
1654609525.956535,11999,601.6143188476562
1654609529.4663832,12079,595.6187744140625
1654609533.1029723,12159,585.950927734375
1654609536.5982852,12239,595.0157470703125
1654609540.1194353,12319,587.560302734375
1654609543.6879575,12399,601.8931274414062
1654609547.236361,12479,589.0776977539062
1654609551.043205,12559,603.998046875
1654609554.6170933,12639,607.9326782226562
1654609557.9925253,12719,608.6539306640625
1654609561.4201484,12799,604.7267456054688
1654609565.050868,12879,613.3023071289062
1654609568.545114,12959,615.0006713867188
1654609571.9258196,13039,625.6226806640625
1654609575.4698236,13119,610.2923583984375
1654609578.9204998,13199,617.5990600585938
1654609582.3269525,13279,622.8793334960938
1654609585.9273226,13359,616.4619750976562
1654609589.6176023,13439,633.5859375
1654609593.3066,13519,627.5717163085938
1654609596.3317783,13599,626.1748046875
1654609599.7288375,13679,633.5162963867188
1654609603.3935418,13759,634.611328125
1654609606.8864517,13839,630.6419067382812
1654609610.6602006,13919,623.1596069335938
1654609614.1305854,13999,641.7573852539062
1654609617.5615838,14079,631.0647583007812
1654609621.0102243,14159,640.967529296875
1654609624.6299992,14239,640.6906127929688
1654609628.4497945,14319,637.3795776367188
1654609631.8717048,14399,640.6671142578125
1654609635.2908401,14479,645.0973510742188
1654609638.7002952,14559,652.5654296875
1654609642.208953,14639,650.343017578125
1654609645.5705981,14719,661.629150390625
1654609649.1118674,14799,650.468505859375
1654609652.5372574,14879,655.6092529296875
1654609656.4349356,14959,648.29052734375
1654609660.1640503,15039,656.13232421875
1654609663.5349903,15119,655.3759155273438
1654609666.929373,15199,656.1705932617188
1654609670.303759,15279,658.98828125
1654609673.7085397,15359,665.2103271484375
1654609677.328643,15439,660.1972045898438
1654609680.6774948,15519,649.2329711914062
1654609684.3282266,15599,659.1890258789062
1654609688.0767043,15679,677.8875732421875
1654609691.4313369,15759,671.7197265625
1654609694.8013182,15839,679.21142578125
1654609698.5510588,15919,669.487060546875
1654609701.965264,15999,667.5411376953125
1654609705.401226,16079,664.4149169921875
1654609708.814832,16159,667.370849609375
