Wall time,Step,Value
1654599432.2357373,79,5.207270622253418
1654599435.5862467,159,5.063597679138184
1654599439.055687,239,5.130263328552246
1654599442.522038,319,6.484961986541748
1654599445.9903882,399,10.237162590026855
1654599449.6537821,479,15.173898696899414
1654599453.11147,559,20.16027069091797
1654599456.5777972,639,26.13985252380371
1654599460.0969887,719,33.55834197998047
1654599463.5705538,799,41.38008117675781
1654599467.0557983,879,55.34333038330078
1654599470.483695,959,75.12326049804688
1654599473.933467,1039,105.7874755859375
1654599477.4226837,1119,143.5507049560547
1654599480.9221337,1199,152.69009399414062
1654599484.6701903,1279,150.13194274902344
1654599488.2398582,1359,154.05162048339844
1654599491.741059,1439,153.44778442382812
1654599495.2696571,1519,150.7002410888672
1654599498.9514148,1599,153.1930389404297
1654599502.4307952,1679,145.11813354492188
1654599505.9562087,1759,153.4119873046875
1654599509.4171672,1839,157.9954376220703
1654599512.8882163,1919,149.5384521484375
1654599516.358737,1999,152.90213012695312
1654599519.3895583,2079,151.5093231201172
1654599523.3440673,2159,145.4192657470703
1654599527.0415006,2239,149.00930786132812
1654599530.5216615,2319,145.17640686035156
1654599534.0088654,2399,146.20391845703125
1654599537.455103,2479,147.56729125976562
1654599541.0399606,2559,149.63851928710938
1654599544.6606085,2639,142.64224243164062
1654599548.3712113,2719,147.99696350097656
1654599551.9129276,2799,149.00782775878906
1654599554.9459183,2879,155.4899139404297
1654599558.5611033,2959,147.68478393554688
1654599562.023769,3039,150.2738800048828
1654599565.502621,3119,149.92431640625
1654599568.9447923,3199,149.06988525390625
1654599572.4552207,3279,150.11798095703125
1654599575.9626734,3359,158.3978729248047
1654599579.6149914,3439,151.68276977539062
1654599583.0667226,3519,160.9604949951172
1654599586.5393074,3599,159.77395629882812
1654599590.001004,3679,161.94656372070312
1654599593.4675674,3759,167.51092529296875
1654599596.965874,3839,171.36392211914062
1654599600.4670298,3919,174.68508911132812
1654599604.1403666,3999,186.2004852294922
1654599608.135144,4079,195.79432678222656
1654599612.1101816,4159,197.89077758789062
1654599616.0368812,4239,201.5897674560547
1654599619.9027846,4319,212.61094665527344
1654599623.4594958,4399,218.8407745361328
1654599626.9601443,4479,215.16815185546875
1654599630.472426,4559,224.06759643554688
1654599634.2023404,4639,224.4833984375
1654599637.664373,4719,235.29229736328125
1654599641.019782,4799,233.48585510253906
1654599644.786291,4879,241.37217712402344
1654599648.2722309,4959,239.61563110351562
1654599651.7879653,5039,244.3193817138672
1654599655.305768,5119,243.11294555664062
1654599658.8074436,5199,244.86231994628906
1654599662.2999885,5279,247.14398193359375
1654599665.8037407,5359,251.5106201171875
1654599669.2446325,5439,257.008544921875
1654599672.9878445,5519,255.3388214111328
1654599676.9339097,5599,256.8378601074219
1654599680.8468888,5679,248.4476776123047
1654599684.0102823,5759,253.09559631347656
1654599687.454571,5839,257.46466064453125
1654599691.1847064,5919,255.8468017578125
1654599694.6540327,5999,258.0866394042969
1654599698.0952668,6079,262.40972900390625
1654599701.5396962,6159,258.0179443359375
1654599705.26725,6239,259.63092041015625
1654599708.747885,6319,255.8850555419922
1654599712.1992133,6399,261.47161865234375
1654599715.846036,6479,256.0882568359375
1654599719.4623244,6559,259.56072998046875
1654599722.9946272,6639,262.4809875488281
1654599726.5732305,6719,260.0811462402344
1654599730.0391693,6799,262.3565368652344
1654599733.447783,6879,254.25057983398438
1654599737.1408548,6959,261.9742126464844
1654599740.5796087,7039,254.47654724121094
1654599744.030524,7119,253.26332092285156
1654599747.4786382,7199,258.9217529296875
1654599750.4053316,7279,258.34625244140625
1654599754.0476239,7359,251.88658142089844
1654599758.275486,7439,259.0838317871094
1654599761.9986284,7519,258.4466247558594
1654599765.595961,7599,248.69375610351562
1654599769.0977967,7679,254.63580322265625
1654599772.5475717,7759,245.7760467529297
1654599775.9775012,7839,252.57809448242188
1654599779.5191581,7919,251.4208526611328
1654599783.2958052,7999,247.66845703125
1654599787.007781,8079,244.05654907226562
1654599790.8673422,8159,248.85867309570312
1654599794.550985,8239,244.8665008544922
1654599797.9914832,8319,250.12632751464844
1654599801.439746,8399,247.72145080566406
1654599804.8655584,8479,240.9685516357422
1654599808.4938283,8559,239.61849975585938
1654599811.9574358,8639,242.786376953125
1654599815.7509587,8719,236.43014526367188
1654599819.1849988,8799,238.8749237060547
1654599822.5954354,8879,237.04698181152344
1654599826.0072737,8959,238.27552795410156
1654599829.4421499,9039,231.5372314453125
1654599832.9426417,9119,230.55409240722656
1654599836.6877737,9199,234.21067810058594
1654599840.5041668,9279,234.89352416992188
1654599844.3158052,9359,229.96139526367188
1654599848.2948852,9439,232.2033233642578
1654599851.74628,9519,224.1700439453125
1654599855.14241,9599,230.62867736816406
1654599858.5189762,9679,226.27059936523438
1654599861.8000607,9759,226.31399536132812
1654599865.242035,9839,221.39425659179688
1654599868.6362493,9919,224.02976989746094
1654599872.05782,9999,222.50070190429688
1654599875.4864686,10079,223.31027221679688
1654599879.3009803,10159,220.11383056640625
1654599882.7335322,10239,219.1070556640625
1654599886.3595195,10319,220.0906219482422
1654599889.7964942,10399,216.58740234375
1654599893.266132,10479,219.74513244628906
